"year","age","income"
1997,44,40202
1997,45,40607
1997,46,40949
1997,47,41210
1997,48,41372
1997,49,41415
1997,50,41322
1997,51,41078
1997,52,40672
1997,53,40094
1997,54,39334
1997,55,38379
1997,56,37221
1997,57,35848
1997,58,34251
1997,59,32417
1997,60,30338
1996,20,11275
1996,21,14376
1996,22,17220
1996,23,19816
1996,24,22175
1996,25,24310
1996,26,26231
1996,27,27948
1996,28,29474
1996,29,30819
1996,30,31994
1996,31,33014
1996,32,33894
1996,33,34653
1996,34,35308
1996,35,35875
1996,36,36371
1996,37,36814
1996,38,37221
1996,39,37608
1996,40,37993
1996,41,38376
1996,42,38747
1996,43,39091
1996,44,39396
1996,45,39649
1996,46,39837
1996,47,39947
1996,48,39966
1996,49,39882
1996,50,39680
1996,51,39351
1996,52,38889
1996,53,38286
1996,54,37535
1996,55,36629
1996,56,35561
1996,57,34325
1996,58,32913
1996,59,31319
1996,60,29535
1995,20,10967
1995,21,13963
1995,22,16710
1995,23,19217
1995,24,21497
1995,25,23559
1995,26,25416
1995,27,27077
1995,28,28554
1995,29,29857
1995,30,30998
1995,31,31991
1995,32,32853
1995,33,33602
1995,34,34255
1995,35,34830
1995,36,35344
1995,37,35815
1995,38,36260
1995,39,36697
1995,40,37143
1995,41,37598
1995,42,38049
1995,43,38478
1995,44,38871
1995,45,39213
1995,46,39486
1995,47,39677
1995,48,39769
1995,49,39748
1995,50,39596
1995,51,39303
1995,52,38859
1995,53,38255
1995,54,37482
1995,55,36532
1995,56,35394
1995,57,34062
1995,58,32524
1995,59,30773
1995,60,28800
1994,20,11365
1994,21,14205
1994,22,16805
1994,23,19177
1994,24,21329
1994,25,23274
1994,26,25022
1994,27,26584
1994,28,27971
1994,29,29193
1994,30,30260
1994,31,31189
1994,32,31996
1994,33,32701
1994,34,33322
1994,35,33877
1994,36,34386
1994,37,34865
1994,38,35334
1994,39,35811
1994,40,36315
1994,41,36843
1994,42,37377
1994,43,37896
1994,44,38380
1994,45,38809
1994,46,39162
1994,47,39420
1994,48,39561
1994,49,39567
1994,50,39416
1994,51,39092
1994,52,38583
1994,53,37876
1994,54,36958
1994,55,35818
1994,56,34442
1994,57,32818
1994,58,30934
1994,59,28777
1994,60,26334
1993,20,10881
1993,21,13570
1993,22,16057
1993,23,18351
1993,24,20459
1993,25,22389
1993,26,24148
1993,27,25744
1993,28,27186
1993,29,28480
1993,30,29636
1993,31,30663
1993,32,31574
1993,33,32383
1993,34,33103
1993,35,33747
1993,36,34329
1993,37,34861
1993,38,35356
1993,39,35829
1993,40,36292
1993,41,36743
1993,42,37171
1993,43,37561
1993,44,37899
1993,45,38171
1993,46,38364
1993,47,38464
1993,48,38456
1993,49,38327
1993,50,38063
1993,51,37653
1993,52,37089
1993,53,36361
1993,54,35461
1993,55,34382
1993,56,33114
1993,57,31649
1993,58,29978
1993,59,28094
1993,60,25987
1992,20,10860
1992,21,13551
1992,22,16042
1992,23,18341
1992,24,20454
1992,25,22390
1992,26,24156
1992,27,25760
1992,28,27210
1992,29,28512
1992,30,29676
1992,31,30710
1992,32,31628
1992,33,32442
1992,34,33163
1992,35,33806
1992,36,34382
1992,37,34903
1992,38,35383
1992,39,35834
1992,40,36267
1992,41,36683
1992,42,37071
1992,43,37419
1992,44,37715
1992,45,37947
1992,46,38104
1992,47,38172
1992,48,38142
1992,49,38000
1992,50,37736
1992,51,37339
1992,52,36802
1992,53,36119
1992,54,35283
1992,55,34287
1992,56,33123
1992,57,31785
1992,58,30265
1992,59,28558
1992,60,26655
1991,20,11091
1991,21,13759
1991,22,16240
1991,23,18539
1991,24,20664
1991,25,22620
1991,26,24413
1991,27,26052
1991,28,27540
1991,29,28886
1991,30,30096
1991,31,31178
1991,32,32141
1991,33,32996
1991,34,33753
1991,35,34421
1991,36,35011
1991,37,35531
1991,38,35993
1991,39,36407
1991,40,36781
1991,41,37116
1991,42,37407
1991,43,37645
1991,44,37822
1991,45,37932
1991,46,37967
1991,47,37918
1991,48,37780
1991,49,37543
1991,50,37202
1991,51,36749
1991,52,36181
1991,53,35494
1991,54,34683
1991,55,33746
1991,56,32677
1991,57,31473
1991,58,30129
1991,59,28642
1991,60,27008
1990,20,11193
1990,21,13881
1990,22,16389
1990,23,18724
1990,24,20889
1990,25,22891
1990,26,24736
1990,27,26429
1990,28,27976
1990,29,29381
1990,30,30652
1990,31,31794
1990,32,32816
1990,33,33726
1990,34,34534
1990,35,35247
1990,36,35874
1990,37,36423
1990,38,36903
1990,39,37322
1990,40,37688
1990,41,38003
1990,42,38261
1990,43,38455
1990,44,38580
1990,45,38630
1990,46,38598
1990,47,38479
1990,48,38266
1990,49,37954
1990,50,37537
1990,51,37009
1990,52,36368
1990,53,35610
1990,54,34733
1990,55,33733
1990,56,32607
1990,57,31352
1990,58,29965
1990,59,28442
1990,60,26781
1989,20,11474
1989,21,14319
1989,22,16965
1989,23,19420
1989,24,21690
1989,25,23781
1989,26,25699
1989,27,27451
1989,28,29044
1989,29,30483
1989,30,31775
1989,31,32928
1989,32,33952
1989,33,34855
1989,34,35647
1989,35,36337
1989,36,36935
1989,37,37449
1989,38,37890
1989,39,38266
1989,40,38587
1989,41,38854
1989,42,39063
1989,43,39208
1989,44,39284
1989,45,39285
1989,46,39207
1989,47,39043
1989,48,38789
1989,49,38439
1989,50,37989
1989,51,37433
1989,52,36770
1989,53,35997
1989,54,35112
1989,55,34113
1989,56,32997
1989,57,31761
1989,58,30404
1989,59,28922
1989,60,27314
1988,20,11183
1988,21,14071
1988,22,16764
1988,23,19269
1988,24,21591
1988,25,23737
1988,26,25711
1988,27,27519
1988,28,29168
1988,29,30663
1988,30,32009
1988,31,33213
1988,32,34284
1988,33,35229
1988,34,36056
1988,35,36773
1988,36,37387
1988,37,37907
1988,38,38341
1988,39,38696
1988,40,38981
1988,41,39196
1988,42,39341
1988,43,39411
1988,44,39404
1988,45,39316
1988,46,39145
1988,47,38888
1988,48,38541
1988,49,38101
1988,50,37566
1988,51,36934
1988,52,36203
1988,53,35373
1988,54,34442
1988,55,33411
1988,56,32278
1988,57,31043
1988,58,29704
1988,59,28260
1988,60,26711
1987,20,11089
1987,21,13811
1987,22,16362
1987,23,18746
1987,24,20967
1987,25,23031
1987,26,24941
1987,27,26702
1987,28,28318
1987,29,29795
1987,30,31136
1987,31,32347
1987,32,33434
1987,33,34404
1987,34,35263
1987,35,36018
1987,36,36675
1987,37,37240
1987,38,37720
1987,39,38121
1987,40,38450
1987,41,38707
1987,42,38891
1987,43,38997
1987,44,39023
1987,45,38965
1987,46,38819
1987,47,38584
1987,48,38255
1987,49,37828
1987,50,37302
1987,51,36673
1987,52,35941
1987,53,35103
1987,54,34159
1987,55,33107
1987,56,31946
1987,57,30675
1987,58,29291
1987,59,27795
1987,60,26184
1986,20,10995
1986,21,13822
1986,22,16448
1986,23,18881
1986,24,21127
1986,25,23192
1986,26,25082
1986,27,26805
1986,28,28366
1986,29,29773
1986,30,31031
1986,31,32149
1986,32,33135
1986,33,33999
1986,34,34750
1986,35,35397
1986,36,35949
1986,37,36415
1986,38,36804
1986,39,37126
1986,40,37388
1986,41,37595
1986,42,37741
1986,43,37824
1986,44,37839
1986,45,37782
1986,46,37649
1986,47,37436
1986,48,37140
1986,49,36756
1986,50,36281
1986,51,35711
1986,52,35046
1986,53,34284
1986,54,33423
1986,55,32463
1986,56,31402
1986,57,30239
1986,58,28972
1986,59,27600
1986,60,26121
1985,20,10610
1985,21,13492
1985,22,16156
1985,23,18609
1985,24,20859
1985,25,22913
1985,26,24779
1985,27,26465
1985,28,27978
1985,29,29326
1985,30,30516
1985,31,31558
1985,32,32462
1985,33,33236
1985,34,33893
1985,35,34441
1985,36,34891
1985,37,35252
1985,38,35536
1985,39,35751
1985,40,35908
1985,41,36010
1985,42,36056
1985,43,36044
1985,44,35972
1985,45,35838
1985,46,35639
1985,47,35374
1985,48,35040
1985,49,34635
1985,50,34158
1985,51,33608
1985,52,32984
1985,53,32288
1985,54,31520
1985,55,30679
1985,56,29767
1985,57,28783
1985,58,27729
1985,59,26604
1985,60,25409
1984,20,10298
1984,21,13012
1984,22,15542
1984,23,17895
1984,24,20075
1984,25,22086
1984,26,23935
1984,27,25627
1984,28,27165
1984,29,28556
1984,30,29805
1984,31,30916
1984,32,31896
1984,33,32749
1984,34,33482
1984,35,34100
1984,36,34608
1984,37,35013
1984,38,35319
1984,39,35532
1984,40,35657
1984,41,35700
1984,42,35662
1984,43,35548
1984,44,35361
1984,45,35103
1984,46,34779
1984,47,34391
1984,48,33942
1984,49,33436
1984,50,32876
1984,51,32266
1984,52,31608
1984,53,30908
1984,54,30167
1984,55,29391
1984,56,28583
1984,57,27746
1984,58,26884
1984,59,26001
1984,60,25101
1983,20,10070
1983,21,12731
1983,22,15204
1983,23,17494
1983,24,19606
1983,25,21547
1983,26,23324
1983,27,24941
1983,28,26404
1983,29,27721
1983,30,28896
1983,31,29937
1983,32,30851
1983,33,31645
1983,34,32326
1983,35,32903
1983,36,33381
1983,37,33770
1983,38,34076
1983,39,34307
1983,40,34469
1983,41,34567
1983,42,34601
1983,43,34572
1983,44,34479
1983,45,34323
1983,46,34105
1983,47,33823
1983,48,33479
1983,49,33073
1983,50,32605
1983,51,32077
1983,52,31489
1983,53,30843
1983,54,30142
1983,55,29386
1983,56,28578
1983,57,27719
1983,58,26811
1983,59,25856
1983,60,24855
1982,20,10401
1982,21,13105
1982,22,15601
1982,23,17895
1982,24,19996
1982,25,21909
1982,26,23643
1982,27,25205
1982,28,26602
1982,29,27841
1982,30,28930
1982,31,29877
1982,32,30690
1982,33,31378
1982,34,31949
1982,35,32412
1982,36,32775
1982,37,33047
1982,38,33237
1982,39,33352
1982,40,33402
1982,41,33392
1982,42,33324
1982,43,33201
1982,44,33026
1982,45,32799
1982,46,32525
1982,47,32205
1982,48,31841
1982,49,31437
1982,50,30994
1982,51,30515
1982,52,30005
1982,53,29466
1982,54,28903
1982,55,28318
1982,56,27716
1982,57,27101
1982,58,26474
1982,59,25842
1982,60,25206
1981,20,7989
1981,21,11276
1981,22,14285
1981,23,17028
1981,24,19515
1981,25,21758
1981,26,23767
1981,27,25553
1981,28,27127
1981,29,28499
1981,30,29681
1981,31,30684
1981,32,31521
1981,33,32206
1981,34,32751
1981,35,33170
1981,36,33475
1981,37,33680
1981,38,33797
1981,39,33840
1981,40,33822
1981,41,33749
1981,42,33624
1981,43,33449
1981,44,33226
1981,45,32957
1981,46,32644
1981,47,32288
1981,48,31892
1981,49,31458
1981,50,30987
1981,51,30483
1981,52,29949
1981,53,29391
1981,54,28811
1981,55,28214
1981,56,27605
1981,57,26987
1981,58,26365
1981,59,25743
1981,60,25125
1980,20,11966
1980,21,15040
1980,22,17818
1980,23,20313
1980,24,22539
1980,25,24510
1980,26,26238
1980,27,27737
1980,28,29022
1980,29,30104
1980,30,30998
1980,31,31720
1980,32,32289
1980,33,32722
1980,34,33039
1980,35,33257
1980,36,33397
1980,37,33476
1980,38,33514
1980,39,33528
1980,40,33537
1980,41,33546
1980,42,33549
1980,43,33539
1980,44,33508
1980,45,33448
1980,46,33353
1980,47,33216
1980,48,33028
1980,49,32783
1980,50,32474
1980,51,32095
1980,52,31645
1980,53,31121
1980,54,30521
1980,55,29844
1980,56,29087
1980,57,28248
1980,58,27324
1980,59,26315
1980,60,25217
1979,20,12221
1979,21,15383
1979,22,18248
1979,23,20831
1979,24,23143
1979,25,25197
1979,26,27008
1979,27,28587
1979,28,29948
1979,29,31104
1979,30,32068
1979,31,32855
1979,32,33483
1979,33,33970
1979,34,34334
1979,35,34591
1979,36,34761
1979,37,34861
1979,38,34908
1979,39,34921
1979,40,34916
1979,41,34900
1979,42,34867
1979,43,34812
1979,44,34727
1979,45,34607
1979,46,34447
1979,47,34240
1979,48,33980
1979,49,33661
1979,50,33278
1979,51,32827
1979,52,32306
1979,53,31714
1979,54,31050
1979,55,30313
1979,56,29502
1979,57,28615
1979,58,27651
1979,59,26610
1979,60,25488
1978,20,11888
1978,21,15237
1978,22,18279
1978,23,21027
1978,24,23494
1978,25,25694
1978,26,27641
1978,27,29347
1978,28,30827
1978,29,32094
1978,30,33160
1978,31,34044
1978,32,34761
1978,33,35333
1978,34,35775
1978,35,36109
1978,36,36351
1978,37,36520
1978,38,36635
1978,39,36714
1978,40,36776
1978,41,36825
1978,42,36857
1978,43,36864
1978,44,36839
1978,45,36777
1978,46,36669
1978,47,36510
1978,48,36293
1978,49,36011
1978,50,35657
1978,51,35227
1978,52,34720
1978,53,34133
1978,54,33466
1978,55,32716
1978,56,31881
1978,57,30961
1978,58,29953
1978,59,28856
1978,60,27669
1977,20,11526
1977,21,14944
1977,22,18065
1977,23,20901
1977,24,23465
1977,25,25768
1977,26,27822
1977,27,29641
1977,28,31236
1977,29,32619
1977,30,33803
1977,31,34802
1977,32,35633
1977,33,36311
1977,34,36854
1977,35,37278
1977,36,37599
1977,37,37834
1977,38,37999
1977,39,38110
1977,40,38184
1977,41,38227
1977,42,38234
1977,43,38201
1977,44,38123
1977,45,37996
1977,46,37815
1977,47,37577
1977,48,37275
1977,49,36906
1977,50,36465
1977,51,35951
1977,52,35361
1977,53,34697
1977,54,33957
1977,55,33142
1977,56,32251
1977,57,31284
1977,58,30240
1977,59,29118
1977,60,27920
1976,20,11335
1976,21,14847
1976,22,18037
1976,23,20919
1976,24,23508
1976,25,25818
1976,26,27862
1976,27,29655
1976,28,31211
1976,29,32543
1976,30,33666
1976,31,34597
1976,32,35355
1976,33,35959
1976,34,36427
1976,35,36780
1976,36,37036
1976,37,37214
1976,38,37335
1976,39,37416
1976,40,37477
1976,41,37524
1976,42,37550
1976,43,37551
1976,44,37519
1976,45,37447
1976,46,37331
1976,47,37162
1976,48,36935
1976,49,36644
